DAYS/PARAMETERS,VITAMIN A (mg/100g),VITAMIN C (mg/100g),VITAMIN E (mg/100g)
DAY0,0.012,279.51,201.22
DAY4,0.016,286.25,206.92
DAY5,0.023,297.6 ,215.32
DAY7,0.034,312.94,228.46 
DAY11,0.057,340.81,255.34
DAY13,0.075,372.85,286.56
DAY17,0.081,401.45,320.56
DAY21,0.084,394.15,308.73
