DAYS/PARAMETERS,VITAMIN A (mg/100g),VITAMIN C (mg/100g),VITAMIN E (mg/100g)
DAY0,16.03,72.56,9.75
DAY2,16.31,72.94,10.11
DAY3,16.65,73.29,10.48
DAY5,16.96,73.56,10.86
DAY7,17.34,73.83,11.23
DAY11,17.71,74.07,11.61
DAY14,18.09,74.31,11.96
DAY20,18.95,74.89,12.77
DAY30,19.75,75.28,13.64
