DAYS/PARAMETERS,VITAMIN A (mg/100g),VITAMIN C (mg/100g),VITAMIN E (mg/100g)
DAY0,0.008,86.05,84.27
DAY2,0.022,86.41,84.58
DAY3,0.044,87.03,85.09
DAY5,0.055,87.22,85.33
DAY9,0.073,87.48,85.76
DAY11,0.089,87.79,85.93
DAY15,0.122,88.27,86.48
DAY17,0.133,88.42,86.61
DAY19,0.142,88.55,86.71
DAY21,0.155,88.77,86.91
